; CSV, generated by libsigrok4DSL 0.2.0 on Tue Oct 18 11:27:46 2022
; Channels (4/16)
; Sample rate: 20 MHz
; Sample count: 200.512 M Samples
Time(s), CLK, MOSI, CS, DC
0.3245597,1,1,1,0
0.3245683,1,1,0,0
0.324577,1,1,1,1
0.3245771,1,1,1,0
0.32458565,1,1,0,0
0.32459435,1,1,1,1
0.32459445,1,1,1,0
0.3246117,1,1,0,0
0.32462035,1,1,1,1
0.32462045,1,1,1,0
0.32462905,1,1,0,0
0.3246464,1,1,1,1
0.3246465,1,1,1,0
0.3246551,1,1,0,0
0.32466375,1,1,1,0
0.3246638,1,1,1,1
0.32466385,1,1,1,0
0.32467245,1,1,0,0
0.3246811,1,1,1,0
0.32468115,1,1,1,1
0.3246812,1,1,1,0
0.32469845,1,1,1,1
0.3246985,1,1,0,0
0.32470715,1,1,1,1
0.32470725,1,1,1,0
0.32471585,1,1,0,0
0.3247332,1,1,1,1
0.32473325,1,1,1,0
0.3247419,1,1,0,0
0.32475055,1,1,1,1
0.32475065,1,1,1,0
0.32475925,1,1,0,0
0.3247679,1,1,1,1
0.324768,1,1,1,0
0.32478525,1,1,0,0
0.32479395,1,1,1,1
0.324794,1,1,1,0
0.3248026,1,1,0,0
0.32481995,1,1,1,0
0.32482,1,1,1,1
0.32482005,1,1,1,0
0.32482865,1,1,0,0
0.32483735,1,1,1,1
0.32483745,1,1,1,0
0.324846,1,1,0,0
0.3248547,1,1,1,1
0.32485475,1,1,1,0
0.32487205,1,1,0,0
0.3248807,1,1,1,1
0.3248808,1,1,1,0
0.3248894,1,1,0,0
0.32490675,1,1,1,1
0.32490685,1,1,1,0
0.32491545,1,1,0,0
0.3249241,1,1,1,1
0.3249242,1,1,1,0
0.3249328,1,1,0,0
0.32494145,1,1,1,1
0.32494155,1,1,1,0
0.3249588,1,1,0,0
0.3249675,1,1,1,1
0.3249676,1,1,1,0
0.32497615,1,1,0,0
0.3249935,1,1,1,1
0.3249936,1,1,1,0
0.3250022,1,1,0,0
0.3250109,1,1,1,1
0.325011,1,1,1,0
0.32501955,1,1,0,0
0.32502825,1,1,1,1
0.32502835,1,1,1,0
0.3250456,1,1,0,0
0.32505425,1,1,1,1
0.32505435,1,1,1,0
0.32506295,1,1,0,0
0.3250803,1,1,1,1
0.3250804,1,1,1,0
0.325089,1,1,0,0
0.32509765,1,1,1,1
0.32509775,1,1,1,0
0.32510635,1,1,0,0
0.325115,1,1,1,1
0.3251151,1,1,1,0
0.32513235,1,1,0,0
0.32514105,1,1,1,1
0.32514115,1,1,1,0
0.3251497,1,1,0,0
0.32516705,1,1,1,1
0.32516715,1,1,1,0
0.32517575,1,1,0,0
0.32518445,1,1,1,1
0.32518455,1,1,1,0
0.3251931,1,1,0,0
0.3252018,1,1,1,1
0.3252019,1,1,1,0
0.32521915,1,1,0,0
0.3252278,1,1,1,0
0.32522785,1,1,1,1
0.3252279,1,1,1,0
0.3252365,1,1,0,0
0.32525385,1,1,1,1
0.32525395,1,1,1,0
0.32526255,1,1,0,0
0.3252712,1,1,1,0
0.32527125,1,1,1,1
0.3252713,1,1,1,0
0.3252799,1,1,0,0
0.3252886,1,1,1,1
0.32528865,1,1,1,0
0.32530595,1,1,0,0
0.3253146,1,1,1,1
0.3253147,1,1,1,0
0.3253233,1,1,0,0
0.32534065,1,1,1,1
0.3253407,1,1,1,0
0.32534935,1,1,0,0
0.325358,1,1,1,0
0.32535805,1,1,1,1
0.3253581,1,1,1,0
0.3253667,1,1,0,0
0.32537535,1,1,1,0
0.3253754,1,1,1,1
0.32537545,1,1,1,0
0.3253927,1,1,0,0
0.3254014,1,1,1,1
0.32540145,1,1,1,0
0.32541005,1,1,0,0
0.3254274,1,1,1,0
0.32542745,1,1,1,1
0.3254275,1,1,1,0
0.3254361,1,1,0,0
0.3254448,1,1,1,1
0.3254449,1,1,1,0
0.32545345,1,1,0,0
0.32546215,1,1,1,1
0.32546225,1,1,1,0
0.3254795,1,1,0,0
0.32548815,1,1,1,1
0.32548825,1,1,1,0
0.32549685,1,1,0,0
0.3255142,1,1,1,1
0.3255143,1,1,1,0
0.3255229,1,1,0,0
0.32553155,1,1,1,1
0.32553165,1,1,1,0
0.32554025,1,1,0,0
0.3255489,1,1,1,1
0.325549,1,1,1,0
0.32556625,1,1,0,0
0.32557495,1,1,1,1
0.32557505,1,1,1,0
0.3255836,1,1,0,0
0.32560095,1,1,1,1
0.32560105,1,1,1,0
0.32560965,1,1,0,0
0.32561835,1,1,1,1
0.32561845,1,1,1,0
0.325627,1,1,0,0
0.3256357,1,1,1,1
0.3256358,1,1,1,0
0.32565305,1,1,0,0
0.3256617,1,1,1,1
0.3256618,1,1,1,0
0.3256704,1,1,0,0
0.32568775,1,1,1,1
0.32568785,1,1,1,0
0.32569645,1,1,0,0
0.3257051,1,1,1,1
0.3257052,1,1,1,0
0.3257138,1,1,0,0
0.32572245,1,1,1,1
0.32572255,1,1,1,0
0.3257398,1,1,0,0
0.3257485,1,1,1,1
0.3257486,1,1,1,0
0.32575715,1,1,0,0
0.3257745,1,1,1,1
0.3257746,1,1,1,0
0.3257832,1,1,0,0
0.3257919,1,1,1,1
0.325792,1,1,1,0
0.32580055,1,1,0,0
0.32580925,1,1,1,1
0.32580935,1,1,1,0
0.3258266,1,1,0,0
0.32583525,1,1,1,0
0.3258353,1,1,1,1
0.32583535,1,1,1,0
0.32584395,1,1,0,0
0.3258613,1,1,1,1
0.3258614,1,1,1,0
0.32587,1,1,0,0
0.3258787,1,1,1,1
0.32587875,1,1,1,0
0.32588735,1,1,0,0
0.32589605,1,1,1,1
0.3258961,1,1,1,0
0.3259134,1,1,0,0
0.32592205,1,1,1,1
0.32592215,1,1,1,0
0.32593075,1,1,0,0
0.3259481,1,1,1,1
0.32594815,1,1,1,0
0.3259568,1,1,0,0
0.32596545,1,1,1,0
0.3259655,1,1,1,1
0.32596555,1,1,1,0
0.32597415,1,1,0,0
0.3259828,1,1,1,0
0.32598285,1,1,1,1
0.3259829,1,1,1,0
0.32600015,1,1,0,0
0.32600885,1,1,1,1
0.32600895,1,1,1,0
0.3260175,1,1,0,0
0.32603485,1,1,1,1
0.32603495,1,1,1,0
0.32604355,1,1,0,0
0.32605225,1,1,1,1
0.32605235,1,1,1,0
0.3260609,1,1,0,0
0.3260696,1,1,1,1
0.3260697,1,1,1,0
0.32608695,1,1,0,0
0.3260956,1,1,1,1
0.3260957,1,1,1,0
0.3261043,1,1,0,0
0.32612165,1,1,1,1
0.32612175,1,1,1,0
0.32613035,1,1,0,0
0.326139,1,1,1,1
0.3261391,1,1,1,0
0.3261477,1,1,0,0
0.32615635,1,1,1,1
0.32615645,1,1,1,0
0.3261737,1,1,0,0
0.3261824,1,1,1,1
0.3261825,1,1,1,0
0.32619105,1,1,0,0
0.3262084,1,1,1,1
0.3262085,1,1,1,0
0.3262171,1,1,0,0
0.3262258,1,1,1,1
0.3262259,1,1,1,0
0.32623445,1,1,0,0
0.32624315,1,1,1,1
0.32624325,1,1,1,0
0.3262605,1,1,0,0
0.32626915,1,1,1,1
0.32626925,1,1,1,0
0.32627785,1,1,0,0
0.3262952,1,1,1,1
0.3262953,1,1,1,0
0.3263039,1,1,0,0
0.32631255,1,1,1,1
0.32631265,1,1,1,0
0.32632125,1,1,0,0
0.3263299,1,1,1,1
0.32633,1,1,1,0
0.32634725,1,1,0,0
0.32635595,1,1,1,1
0.32635605,1,1,1,0
0.3263646,1,1,0,0
0.32638195,1,1,1,0
0.326382,1,1,1,1
0.32638205,1,1,1,0
0.32639065,1,1,0,0
0.32639935,1,1,1,1
0.32639945,1,1,1,0
0.326408,1,1,1,1
0.32640805,1,1,0,0
0.3264167,1,1,1,1
0.3264168,1,1,1,0
0.32643405,1,1,0,0
0.32644275,1,1,1,1
0.3264428,1,1,1,0
0.3264514,1,1,0,0
0.32646875,1,1,1,1
0.32646885,1,1,1,0
0.32647745,1,1,0,0
0.32648615,1,1,1,1
0.3264862,1,1,1,0
0.3264948,1,1,0,0
0.3265035,1,1,1,1
0.32650355,1,1,1,0
0.32652085,1,1,0,0
0.3265295,1,1,1,0
0.32652955,1,1,1,1
0.3265296,1,1,1,0
0.3265382,1,1,0,0
0.32655555,1,1,1,1
